bhk,price,total_sqft,location,price_per_sqft
1.0,26.0,602.0,"Damodar Nagar, Pathardi Phata, Nashik, Maharashtra",431.8936877076412
2.0,45.0,960.0,Alaknanda,468.75
2.0,50.0,900.0,"Hanuman Nagar, Dasak, Nashik, Maharashtra",555.5555555555555
2.0,30.0,900.0,Yogiraj,333.3333333333333
1.0,25.0,750.0,"Ambika Nagar, Niphad, Nashik, Maharashtra",333.3333333333333
2.0,29.5,840.0,"Prashant Nagar, Pathardi Phata, Nashik, Maharashtra",351.1904761904762
2.0,75.0,1500.0,Maruti Park,500.0
3.0,48.0,1171.0,Ganesh,409.9060631938514
2.0,70.0,1650.0,Maruti Park,424.24242424242425
2.0,35.0,640.0,Vighnaharta Apartment,546.875
2.0,34.0,640.0,Vighnaharta Apartment,531.25
2.0,49.0,1000.0,"Govind Nagar, Nashik, Maharashtra",490.0
1.0,39.0,750.0,"Kamatwade-Abhiyanta Nagar, Cidco, Nashik, Maharashtra",520.0
2.0,27.5,750.0,"Wadala, Nashik, Maharashtra",366.6666666666667
2.0,35.0,800.0,"Damodar Nagar, Pathardi Phata, Nashik, Maharashtra",437.5
2.0,35.0,800.0,"Damodar Nagar, Pathardi Phata, Nashik, Maharashtra",437.5
2.0,31.0,840.0,"Damodar Nagar, Pathardi Phata, Nashik, Maharashtra",369.04761904761904
2.0,40.0,1100.0,"Kala Nagar, Indira Nagar, Nashik, Maharashtra",363.6363636363636
1.0,30.0,650.0,Sneh,461.53846153846155
2.0,55.0,1300.0,"Prabhat Nagar, Mhasrul, Nashik, Maharashtra",423.0769230769231
1.0,22.0,650.0,"Gandhi Nagar Airport Area, Gandhi Nagar, Nashik, Maharashtra",338.46153846153845
1.0,11.5,270.0,"Gaikwad Nagar, Tidke Colony, Nashik, Maharashtra",425.9259259259259
2.0,29.0,918.0,"Panchavati, Nashik, Maharashtra",315.9041394335512
2.0,45.0,853.0,"Kala Nagar, Indira Nagar, Nashik, Maharashtra",527.5498241500586
2.0,40.0,1000.0,"Sinnar, Nashik, Maharashtra",400.0
2.0,55.0,950.0,"Nashik Road, Nashik, Maharashtra",578.9473684210526
3.0,75.0,1560.0,"Nashik, Maharashtra",480.7692307692308
1.0,20.0,620.0,"Rajiv Nagar, Indira Nagar, Nashik, Maharashtra",322.5806451612903
1.0,27.0,615.0,"Gangapur, Nashik, Maharashtra",439.0243902439024
